eid,doi,title,publication_name,cover_date,citedby_count,open_access,downloaded
2-s2.0-105011376956,10.1016/j.diamond.2025.112658,Construction of hierarchical porous carbon/NiCo2S4 composites by a microwave heating and hydrothermal process for supercapacitors,Diamond and Related Materials,2025-10-01,3,0,0
2-s2.0-105011258510,10.1016/j.jece.2025.117659,Recycling low-density polyethylene microplastics into flexible supercapacitors through carbonization and activation processes,Journal of Environmental Chemical Engineering,2025-10-01,1,0,0
2-s2.0-105011255647,10.1016/j.diamond.2025.112659,Sustainable carbon from marine sponge waste for high-performance supercapacitors: Surface-specific insights on glassy carbon and boron-doped diamond electrodes,Diamond and Related Materials,2025-10-01,1,0,0
2-s2.0-105011255505,10.1002/adsu.202500464,Sulfur Vacancy-Enrichment Boosts the Proton Storage Sites in Mesoporous Cobalt Sulfide-Carbon Nanofiber Composites for High-Performance Supercapacitor Devices,Advanced Sustainable Systems,2025-10-01,2,0,0
2-s2.0-105011207042,10.1007/s12598-025-03455-z,Fish-scale-like NiMn-based layered double hydroxides for high-energy aqueous supercapacitors,Rare Metals,2025-10-01,3,0,0
2-s2.0-105011183911,10.1016/j.nxmate.2025.100987,Advanced engineering of Nd-doped LiNMC hybrid supercapacitor materials with planetary ballmill method and DEM-based microstructural simulation,Next Materials,2025-10-01,1,1,0
2-s2.0-105011152565,10.1007/s12598-025-03381-0,Rapid oxygen vacancy engineering in SiC@Fe2O3-x nanowires for high-performance supercapacitors,Rare Metals,2025-10-01,1,0,0
2-s2.0-105011147559,10.1016/j.nxmate.2025.100964,Smart nanomaterials for semiconductor applications: Recent advances in energy storage and biosensing technologies,Next Materials,2025-10-01,1,1,0
2-s2.0-105011096747,10.1016/j.ssc.2025.116076,Engineering microneedle morphology in MgCo2O4 thin films via deposition time control for advanced supercapacitors electrode,Solid State Communications,2025-10-01,1,1,0
2-s2.0-105010945932,10.1016/j.indcrop.2025.121391,Sustainable synthesis of Ni-doped activated carbon composites from agricultural waste for high-performance supercapacitor electrodes,Industrial Crops and Products,2025-10-01,1,1,0
2-s2.0-105010918802,10.1016/j.ceramint.2025.07.130,"Tuning antiferromagnetic-paramagnetic switching, optical and electrochemical performance of Y0.5Gd0.5Ba2Cu3O7±δthrough carbon nanotube incorporation",Ceramics International,2025-10-01,2,0,0
2-s2.0-105010917291,10.1016/j.inoche.2025.114987,Design and optimization of ZnIn2S4/Zr2C@PANI hybrid materials for improved energy storage and hydrogen evolution performance toward advanced energy applications,Inorganic Chemistry Communications,2025-10-01,5,0,0
2-s2.0-105010891752,10.1016/j.diamond.2025.112648,Study of the super-capacitive properties of Ni MOF/MWCNT as a highly efficient electrode material synthesized through a solvothermal approach,Diamond and Related Materials,2025-10-01,3,0,0
2-s2.0-105010623838,10.21608/ejchem.2025.376609.11615,Green Nanotechnology for Sustainable Ecosystems: Innovations in Pollution Remediation and Resource Recovery,Egyptian Journal of Chemistry,2025-10-01,3,0,0
2-s2.0-105010560253,10.1016/j.jtice.2025.106295,Synthesis and capacitive properties of nano-layered MoSSe/Nitrogen-doped RGO/Nickel foam electrode for enhanced-performance battery-like supercapacitors with coin cell design,Journal of the Taiwan Institute of Chemical Engineers,2025-10-01,1,1,0
2-s2.0-105010507263,10.1016/j.diamond.2025.112620,Fabrication of novel Pd-WO3-PPD/GO/ACGS electrode for dual-function in high-performance supercapacitors and efficient water splitting,Diamond and Related Materials,2025-10-01,2,0,0
2-s2.0-105010500116,10.1016/j.est.2025.117708,Electrode materials in focus: Advancements in pseudocapacitors for AC line filtering,Journal of Energy Storage,2025-10-01,2,0,0
2-s2.0-105010495544,10.1007/s10800-025-02338-6,Degradation studies over nickel foam current collector for supercapacitor application,Journal of Applied Electrochemistry,2025-10-01,1,0,0
2-s2.0-105010320440,10.1016/j.est.2025.117703,Fe2O3@Mn2O3 hierarchical core-shell structure: Optimizing energy density for flexible symmetric supercapacitor,Journal of Energy Storage,2025-10-01,5,0,0
2-s2.0-105010300457,10.1016/j.est.2025.117588,Recent advances in MXene-polymer composites for high performance supercapacitor applications,Journal of Energy Storage,2025-10-01,21,0,0
2-s2.0-105010155958,10.1016/j.est.2025.117659,Sunflower plate-derived activated porous carbon for high-performance supercapacitors: The structure-performance relationship based on activator regulation,Journal of Energy Storage,2025-10-01,6,0,0
2-s2.0-105010129527,10.1016/j.est.2025.117667,Emerging frontiers in supercapacitors: Synergistic applications of two-dimensional and three-dimensional composite materials for energy storage,Journal of Energy Storage,2025-10-01,7,0,0
2-s2.0-105009934500,10.1016/j.est.2025.117649,High-performance self-doped TiO2 nanotube electrodes for supercapacitor applications,Journal of Energy Storage,2025-10-01,5,0,0
2-s2.0-105009881642,10.1016/j.inoche.2025.115008,Binary co-deposition of copper‑molybdenum oxides on poly (p-phenylenediamine) as a new nanocomposite for the fabrication of GO/graphite-based supercapacitor electrodes,Inorganic Chemistry Communications,2025-10-01,3,0,0
2-s2.0-105009860915,10.1016/j.energy.2025.137399,High-value activated carbons preparation from Enteromorpha prolifera and their electrochemical assessment,Energy,2025-10-01,5,0,0
2-s2.0-105009841371,10.1016/j.inoche.2025.115005,Cobalt-doping-controlled synthesis of CoMnO3 as a novel electrode material for supercapacitors,Inorganic Chemistry Communications,2025-10-01,2,0,0
2-s2.0-105009795200,10.1016/j.electacta.2025.146772,One-step engineering of porous ZnMn-LDH network for high-performance supercapacitors,Electrochimica Acta,2025-10-01,5,1,0
2-s2.0-105009742874,10.1002/sstr.202500265,Edge-Free Graphene-Derived Mesoporous Carbon for High-Voltage Supercapacitors,Small Structures,2025-10-01,2,1,0
2-s2.0-105009711988,10.1016/j.electacta.2025.146741,Unveiling the advancements in electrochemical performance of PCN-777/ReSe2@LiO2 for asymmetric supercapacitors and electrochemical hydrogen production,Electrochimica Acta,2025-10-01,1,0,0
2-s2.0-105009699256,10.1016/j.ceramint.2025.06.371,Cobalt-doped samarium ferrite nanostructures with enhanced pseudocapacitive performance for energy storage applications,Ceramics International,2025-10-01,1,0,0
2-s2.0-105009697372,10.1016/j.ceramint.2025.06.401,Enhanced electrochemical and optical properties of rGO-Integrated Cu-Zn-Dy ferrites nanocomposites for energy storage and catalysis applications,Ceramics International,2025-10-01,4,0,0
2-s2.0-105009623118,10.1016/j.susmat.2025.e01510,Upcycling pyrolysis fuel oil into high-performance carbon electrodes for sustainable symmetric supercapacitors,Sustainable Materials and Technologies,2025-10-01,1,0,0
2-s2.0-105009620006,10.1016/j.electacta.2025.146803,Two-step pyrolysis of MOF-derived NiMn2O4/rGO hybrid films for supercapacitor electrodes,Electrochimica Acta,2025-10-01,1,0,0
2-s2.0-105009594102,10.1016/j.electacta.2025.146797,1D rod-like mixed Ni–Co–Mo metallic oxide anchored on Ni foam as a novel positrode for high energy density asymmetric supercapacitors,Electrochimica Acta,2025-10-01,7,0,0
2-s2.0-105009590454,10.1016/j.electacta.2025.146736,Synergistically tailored ionic conduction and transport in ZnO/CNTs based electrodes with enhanced electrochemical efficiency in supercapacitors,Electrochimica Acta,2025-10-01,15,0,0
2-s2.0-105009514654,10.1016/j.inoche.2025.114973,"Engineering Co3+-doped TiO₂/MnWO₄ nanocomposites for sustainable photocatalysis, electrochemical water splitting, and supercapacitor applications",Inorganic Chemistry Communications,2025-10-01,2,0,0
2-s2.0-105009481559,10.1111/jace.70061,Structure and electrochemical performances of NiCo hydroxide with anion exchange by carbonates for hybrid supercapacitor,Journal of the American Ceramic Society,2025-10-01,1,1,0
2-s2.0-105009429085,10.1016/j.inoche.2025.114907,Covalent Triazine framework-modified strontium Titanate with zinc oxide for enhanced hydrogen evolution reaction and Supercapattery performance,Inorganic Chemistry Communications,2025-10-01,4,0,0
2-s2.0-105009427875,10.1016/j.electacta.2025.146774,Hierarchical MXene/NiCo2S4 electrodes derived from MXene/ZIF-67 composites for high-performance supercapacitors,Electrochimica Acta,2025-10-01,1,0,0
2-s2.0-105009425538,10.1016/j.ceramint.2025.06.375,Synergistic effect of WO3/BiVO4 nanocomposites for energy storage applications,Ceramics International,2025-10-01,2,0,0
2-s2.0-105009328581,10.1016/j.jssc.2025.125483,Synthesis of COF-300/ReSe2 heterostructure with synergistic interfaces for enhanced energy storage systems and hydrogen evolution reaction,Journal of Solid State Chemistry,2025-10-01,2,0,0
2-s2.0-105009326614,10.1016/j.biombioe.2025.108142,Enhancing supercapacitor energy density via KMnO4-activated apple waste-derived carbon and aqueous trifluoroacetic acid electrolyte,Biomass and Bioenergy,2025-10-01,3,0,0
2-s2.0-105009305987,10.1016/j.rser.2025.116001,Carbon-based materials derived from green and sustainable chemistry: Current perspectives for electrocatalysis and energy applications,Renewable and Sustainable Energy Reviews,2025-10-01,8,0,0
2-s2.0-105009294547,10.1016/j.ceramint.2025.06.378,2D/3D type rGO based Ce0.5Ca0.5MnO3 nanocomposites as supercapacitor electrode for high performance,Ceramics International,2025-10-01,1,0,0
2-s2.0-105009292404,10.1016/j.jechem.2025.06.029,Electron-deficient borate anions tailoring the electronic structure of defect-rich amorphous nickel–cobalt cathode for superior capacitive energy storage,Journal of Energy Chemistry,2025-10-01,3,0,0
2-s2.0-105009226088,10.1016/j.inoche.2025.114912,"Combustion synthesis, spectral and electrochemical characterization of chromium-doped magnesium ferrite (MgFe₂O₄) nanoparticles for enhanced supercapacitor electrode performance",Inorganic Chemistry Communications,2025-10-01,3,0,0
2-s2.0-105009211638,10.1016/j.compositesb.2025.112750,Insights into low-impurity activated carbon materials for supercapacitors with high-voltage and ultra-long cycle stability,Composites Part B Engineering,2025-10-01,10,0,0
2-s2.0-105009111840,10.1007/s42247-025-01158-w,Sustainable energy approaches using Perovskite materials: a comprehensive review of energy applications,Emergent Materials,2025-10-01,6,0,0
2-s2.0-105009030517,10.1007/s00202-025-03229-x,Improved energy management strategy using adaptive PI controller for fuel cell–supercapacitor–battery hybrid tramway,Electrical Engineering,2025-10-01,1,0,0
2-s2.0-105009014518,10.1016/j.jtice.2025.106238,"High performance CaAl12O19:Ho3+ phosphors for energy and environmental sustainability: Synergizing photoluminescence, electrochemical energy storage and photocatalysis",Journal of the Taiwan Institute of Chemical Engineers,2025-10-01,4,1,0
2-s2.0-105008990843,10.1016/j.inoche.2025.114927,Graphene/Bi12TiO20:Li-MoS2/Na2Ti3O7 composite electrodes to enhance the capacitance/energy-density of supercapacitors operated under harsh environments,Inorganic Chemistry Communications,2025-10-01,1,1,0
2-s2.0-105008986650,10.1016/j.electacta.2025.146722,Optimization of porous carbon structure through high-temperature pyrolysis for enhanced electrochemical performance of supercapacitors,Electrochimica Acta,2025-10-01,3,0,0
2-s2.0-105008967486,10.1016/j.inoche.2025.114914,"Multifunctional CaFe₂O₄/CeO₂/Gd₂O₃/CuFe₂O₄ nanocomposites: Structural, electrochemical, and biocompatibility insights for energy storage and biomedical applications",Inorganic Chemistry Communications,2025-10-01,1,0,0
2-s2.0-105008946263,10.1016/j.solidstatesciences.2025.108014,"Waste biomass-derived N, S-codoped porous carbon flakes for high energy density asymmetric supercapacitors",Solid State Sciences,2025-10-01,6,1,0
2-s2.0-105008810404,10.1016/j.inoche.2025.114875,Frequency responsive bimetallic oxides as potential supercapacitors electrode,Inorganic Chemistry Communications,2025-10-01,2,0,0
2-s2.0-105008790334,10.1016/j.cemconcomp.2025.106197,Polyethylene oxide-magnesium phosphate cement composite as a high-performance solid-state electrolyte,Cement and Concrete Composites,2025-10-01,5,0,0
2-s2.0-105008771156,10.1016/j.susmat.2025.e01501,Innovative fabrication of hierarchically porous carbon materials via integrated template strategy for high-performance supercapacitors,Sustainable Materials and Technologies,2025-10-01,6,0,0
2-s2.0-105008720873,10.1016/j.physb.2025.417519,Advanced supercapacitors: benefit from the electrode material cubic-ZrO2 by doping with Gd,Physica B Condensed Matter,2025-10-01,8,0,0
